GPO Levée Restrictions Elèves				{0A3621B9-4710-4814-8458-C60B56323900}
GPO Affichage BGInfo					{3B548986-B4B3-4994-BA16-7890550422D6}
GPO Professeurs administrateurs dans ces salles		{4A054D48-52D1-4D72-8D45-D8F148A112C9}
GPO Pare-feu désactivé					{5A635B19-7C46-47E6-8017-1B501A7EDC2C}
GPO Bureau Public - Technologie				{346BFA91-F4CC-4D69-A717-867F679CB446}
GPO Configuration Environnement				{64E73E1E-0FBB-43DA-8BA1-0EC73944BDE1}
GPO Restrictions Elèves					{73EB62DC-2447-46E3-B203-5518CD30D45C}
GPO Redirection Dossiers				{B6C7590F-11D8-49B4-BC50-505997EF3273}
GPO Redirection Bureau personnel			{8EF9AB93-D8E4-4833-9F3E-506D148002F1}
GPO Pare-feu activé					{7432DFBE-4C90-4281-9B07-A962585A75C9}
GPO UAC normale						{84136D73-96AB-494E-A4DC-19EA76EE2A51}
GPO Configuration Machine				{B330FAFF-88AF-45D2-ACC2-44FA924EF2A3}
GPO UAC désactivée					{E0D4FFBD-9CC4-4C96-ACC4-73137BB78FFD}
