2min 50ms systemd-networkd-wait-online.service
   5.890s apt-show-versions.service
   2.986s podman-clean-transient.service
   2.709s snapd.seeded.service
   2.652s creoled.service
   2.630s phpsessionclean.service
   2.383s snapd.service
   2.106s eoleflask.service
   2.023s mysql.service
   1.585s networkd-dispatcher.service
   1.168s exim4-base.service
   1.129s EoleCiTestsContext.service
   1.048s gpm.service
   1.031s dpkg-db-backup.service
    901ms udisks2.service
    877ms ModemManager.service
    744ms logrotate.service
    624ms dev-mapper-seshat\x2d\x2dvg\x2droot.device
    529ms fstrim.service
    520ms polkit.service
    446ms rsyslog.service
    422ms apache2.service
    421ms apport.service
    402ms nut-driver-enumerator.service
    308ms grub-common.service
    276ms systemd-networkd.service
    229ms networking.service
    229ms apparmor.service
    218ms systemd-journal-flush.service
    202ms systemd-udev-trigger.service
    183ms exim4.service
    175ms systemd-resolved.service
    171ms keyboard-setup.service
    168ms systemd-journald.service
    161ms podman-restart.service
    159ms lvm2-monitor.service
    159ms dbus.service
    155ms e2scrub_reap.service
    152ms rng-tools-debian.service
    149ms slapd.service
    149ms systemd-logind.service
    145ms grub-initrd-fallback.service
    132ms nginx.service
    124ms rc-local.service
    117ms sysstat.service
    114ms multipathd.service
    106ms systemd-udevd.service
     93ms EoleCiTestsDaemon.service
     88ms sys-kernel-debug.mount
     88ms dev-mqueue.mount
     85ms dev-hugepages.mount
     85ms sys-kernel-tracing.mount
     84ms modprobe@loop.service
     82ms modprobe@fuse.service
     79ms modprobe@efi_pstore.service
     77ms kmod-static-nodes.service
     77ms modprobe@dm_mod.service
     77ms inetd.service
     77ms modprobe@drm.service
     76ms podman-auto-update.service
     75ms atd.service
     72ms modprobe@configfs.service
     72ms podman.service
     71ms systemd-modules-load.service
     68ms systemd-remount-fs.service
     66ms packagekit.service
     64ms systemd-fsck@dev-disk-by\x2duuid-EEC2\x2dAB3E.service
     59ms systemd-tmpfiles-setup.service
     58ms systemd-timesyncd.service
     58ms systemd-tmpfiles-setup-dev-early.service
     56ms systemd-fsck@dev-disk-by\x2did-dm\x2duuid\x2dLVM\x2dLCMnSReBweQHG0QIs6qK5PtK4cQzHdBDIIJEDN9eisqDtztwcOpAj5u8RPYFqMFJ.service
     55ms systemd-random-seed.service
     52ms systemd-fsck@dev-disk-by\x2did-dm\x2duuid\x2dLVM\x2dLCMnSReBweQHG0QIs6qK5PtK4cQzHdBDSG8fyQ62n3mpyowdS7XtV1sgdXmL31eF.service
     46ms systemd-hostnamed.service
     43ms var.mount
     41ms systemd-binfmt.service
     38ms systemd-fsck@dev-disk-by\x2duuid-6fd6df85\x2d1177\x2d4ed3\x2dace0\x2d76e06e5c25e5.service
     37ms nut-server.service
     36ms dev-disk-by\x2duuid-cdd9a911\x2d5f55\x2d4dd7\x2daed2\x2d1114799a632d.swap
     35ms nut-monitor.service
     35ms systemd-sysctl.service
     33ms plymouth-quit.service
     31ms sys-fs-fuse-connections.mount
     30ms sys-kernel-config.mount
     27ms plymouth-read-write.service
     26ms snapd.apparmor.service
     24ms tmp.mount
     22ms plymouth-quit-wait.service
     21ms console-setup.service
     21ms finalrd.service
     20ms systemd-user-sessions.service
     18ms boot.mount
     17ms systemd-update-utmp.service
     16ms proc-sys-fs-binfmt_misc.mount
     16ms ifupdown-pre.service
     15ms ufw.service
     15ms systemd-update-utmp-runlevel.service
     15ms home.mount
     12ms lxd-installer.socket
     12ms boot-efi.mount
     11ms systemd-tmpfiles-setup-dev.service
      8ms setvtrgb.service
      4ms snapd.socket
      1ms blk-availability.service
