       2min 12ms netplan-wait-online.service
         16.242s ntpdate.service
          2.325s exim4.service
          1.950s creoled.service
          1.113s certbot.service
           939ms mysql.service
           923ms eoleflask.service
           535ms EoleCiTestsContext.service
           533ms networkd-dispatcher.service
           486ms systemd-udev-settle.service
           400ms fstrim.service
           368ms dev-mapper-thot\x2d\x2dvg\x2droot.device
           339ms nginx.service
           300ms netplan-apply.service
           287ms phpsessionclean.service
           274ms gpm.service
           236ms apparmor.service
           194ms systemd-networkd-wait-online.service
           175ms systemd-journal-flush.service
           164ms apache2.service
           162ms ssh.service
           145ms systemd-resolved.service
           141ms systemd-timesyncd.service
           129ms lvm2-monitor.service
           127ms accounts-daemon.service
           125ms networking.service
           118ms grub-common.service
           116ms slapd.service
           115ms systemd-hostnamed.service
            91ms rng-tools.service
            88ms keyboard-setup.service
            84ms systemd-fsck@dev-mapper-thot\x2d\x2dvg\x2dvar.service
            84ms systemd-fsck@dev-disk-by\x2duuid-e737fec1\x2d9577\x2d49ea\x2dbb30\x2de108099813b9.service
            82ms systemd-fsck@dev-mapper-thot\x2d\x2dvg\x2dhome.service
            81ms systemd-fsck@dev-mapper-thot\x2d\x2dvg\x2dtmp.service
            76ms rsyslog.service
            71ms systemd-udev-trigger.service
            64ms lvm2-pvscan@8:2.service
            63ms systemd-tmpfiles-setup-dev.service
            60ms systemd-sysctl.service
            59ms systemd-logind.service
            55ms EoleCiTestsDaemon.service
            42ms kmod-static-nodes.service
            39ms systemd-modules-load.service
            38ms systemd-networkd.service
            38ms blk-availability.service
            38ms dev-hugepages.mount
            37ms systemd-tmpfiles-setup.service
            37ms sys-kernel-debug.mount
            34ms systemd-journald.service
            34ms systemd-udevd.service
            33ms clamav-daemon.service
            32ms dev-mqueue.mount
            25ms nut-monitor.service
            25ms systemd-remount-fs.service
            22ms nut-driver.service
            22ms boot.mount
            20ms home.mount
            20ms rc-local.service
            19ms var.mount
            16ms systemd-random-seed.service
            16ms systemd-update-utmp.service
            15ms inetd.service
            14ms systemd-user-sessions.service
            14ms plymouth-quit.service
            13ms dev-mapper-thot\x2d\x2dvg\x2dswap_1.swap
            13ms tmp.mount
            13ms console-setup.service
            11ms plymouth-read-write.service
            11ms motd-news.service
             7ms sys-kernel-config.mount
             7ms plymouth-quit-wait.service
             6ms nut-server.service
             5ms systemd-update-utmp-runlevel.service
             4ms sys-fs-fuse-connections.mount
             3ms setvtrgb.service
