2min 226ms systemd-networkd-wait-online.service
    5.254s apt-show-versions.service
    2.858s postgresql@16-main.service
    2.120s creoled.service
    1.563s eoleflask.service
    1.551s snapd.seeded.service
    1.462s networkd-dispatcher.service
    1.367s snapd.service
    1.046s gpm.service
    1.035s EoleCiTestsContext.service
     938ms exim4-base.service
     739ms dpkg-db-backup.service
     677ms udisks2.service
     617ms dev-mapper-zephir\x2d\x2dvg\x2droot.device
     607ms ModemManager.service
     425ms fstrim.service
     381ms polkit.service
     327ms rsyslog.service
     301ms nut-driver-enumerator.service
     281ms logrotate.service
     270ms systemd-journal-flush.service
     230ms apport.service
     225ms grub-common.service
     224ms apparmor.service
     214ms systemd-networkd.service
     189ms systemd-udev-trigger.service
     179ms update-notifier-download.service
     177ms systemd-resolved.service
     169ms networking.service
     159ms keyboard-setup.service
     145ms lvm2-monitor.service
     134ms exim4.service
     129ms rng-tools-debian.service
     123ms systemd-logind.service
     114ms dbus.service
     112ms e2scrub_reap.service
     108ms systemd-udevd.service
     104ms multipathd.service
     101ms slapd.service
      98ms systemd-journald.service
      93ms grub-initrd-fallback.service
      87ms nginx.service
      86ms sys-kernel-debug.mount
      86ms sys-kernel-tracing.mount
      86ms dev-mqueue.mount
      86ms dev-hugepages.mount
      83ms sysstat.service
      77ms kmod-static-nodes.service
      75ms EoleCiTestsDaemon.service
      75ms modprobe@efi_pstore.service
      74ms atd.service
      74ms systemd-fsck@dev-disk-by\x2duuid-9F56\x2d38F3.service
      73ms modprobe@fuse.service
      71ms systemd-tmpfiles-setup-dev-early.service
      71ms modprobe@configfs.service
      71ms modprobe@dm_mod.service
      70ms modprobe@drm.service
      70ms modprobe@loop.service
      69ms var.mount
      65ms inetd.service
      62ms nut-server.service
      59ms systemd-tmpfiles-setup.service
      59ms systemd-timesyncd.service
      58ms systemd-random-seed.service
      50ms rc-local.service
      49ms systemd-sysctl.service
      49ms systemd-modules-load.service
      45ms systemd-fsck@dev-disk-by\x2did-dm\x2duuid\x2dLVM\x2dNUoSX13QGcbKSrBVvNYlxnMoM70UXHU80b7uvFEPA0oJKD70lWB10M8US8m700H5.service
      45ms systemd-hostnamed.service
      44ms systemd-remount-fs.service
      39ms plymouth-quit.service
      39ms systemd-fsck@dev-disk-by\x2did-dm\x2duuid\x2dLVM\x2dNUoSX13QGcbKSrBVvNYlxnMoM70UXHU8pNTKw3ofuCtZcuLbxZ7iotxjrNTV9dw3.service
      36ms systemd-binfmt.service
      32ms home.mount
      30ms systemd-user-sessions.service
      27ms sys-kernel-config.mount
      27ms dev-disk-by\x2duuid-028732c2\x2d1818\x2d4d84\x2da4cc\x2daf122a2b0ee7.swap
      26ms console-setup.service
      24ms plymouth-read-write.service
      24ms systemd-tmpfiles-setup-dev.service
      23ms nut-monitor.service
      23ms systemd-fsck@dev-disk-by\x2duuid-72f6033b\x2d8f13\x2d4e0d\x2d8296\x2df187ac6d377e.service
      23ms snapd.apparmor.service
      22ms systemd-update-utmp.service
      20ms finalrd.service
      20ms plymouth-quit-wait.service
      20ms sys-fs-fuse-connections.mount
      16ms boot-efi.mount
      14ms proc-sys-fs-binfmt_misc.mount
      13ms ufw.service
      12ms ifupdown-pre.service
      12ms lxd-installer.socket
      11ms systemd-update-utmp-runlevel.service
      10ms tmp.mount
       6ms boot.mount
       6ms snapd.socket
       5ms sysstat-collect.service
       5ms setvtrgb.service
       2ms postgresql.service
      89us blk-availability.service
