17.916s docker.service
 9.347s EoleCiTestsContext.service
 2.230s motd-news.service
 1.754s fwupd-refresh.service
  896ms dev-sda2.device
  365ms networkd-dispatcher.service
  363ms fstrim.service
  352ms containerd.service
  319ms systemd-journal-flush.service
  314ms apport.service
  274ms fwupd.service
  263ms multipathd.service
  218ms udisks2.service
  201ms man-db.service
  193ms rsyslog.service
  186ms systemd-udevd.service
  177ms systemd-tmpfiles-setup-dev-early.service
  172ms exim4.service
  169ms systemd-udev-trigger.service
  166ms systemd-sysctl.service
  165ms systemd-random-seed.service
  146ms lvm2-monitor.service
  145ms ModemManager.service
  126ms polkit.service
  110ms update-notifier-download.service
  110ms systemd-journald.service
  104ms sysstat-summary.service
  101ms grub-common.service
   93ms EoleCiTestsDaemon.service
   91ms logrotate.service
   81ms dev-hugepages.mount
   81ms keyboard-setup.service
   80ms dev-mqueue.mount
   79ms nginx.service
   77ms sys-kernel-debug.mount
   76ms sys-kernel-tracing.mount
   74ms apparmor.service
   71ms boot-efi.mount
   68ms modprobe@drm.service
   68ms kmod-static-nodes.service
   66ms modprobe@efi_pstore.service
   65ms modprobe@dm_mod.service
   65ms modprobe@fuse.service
   65ms modprobe@configfs.service
   64ms modprobe@loop.service
   63ms upower.service
   61ms systemd-logind.service
   53ms systemd-fsck@dev-disk-by\x2duuid-D5F8\x2d1344.service
   51ms dbus.service
   51ms systemd-modules-load.service
   51ms dnsmasq.service
   49ms e2scrub_reap.service
   48ms systemd-remount-fs.service
   48ms systemd-tmpfiles-setup.service
   47ms systemd-hostnamed.service
   42ms sys-fs-fuse-connections.mount
   37ms swap.img.swap
   36ms sys-kernel-config.mount
   36ms grub-initrd-fallback.service
   35ms systemd-binfmt.service
   34ms systemd-networkd.service
   33ms exim4-base.service
   33ms systemd-networkd-wait-online.service
   33ms ssh.service
   32ms chrony.service
   28ms plymouth-quit.service
   24ms sysstat.service
   23ms console-setup.service
   20ms finalrd.service
   20ms plymouth-read-write.service
   18ms fetchmail.service
   18ms systemd-update-utmp.service
   17ms systemd-tmpfiles-clean.service
   14ms systemd-update-utmp-runlevel.service
   13ms proc-sys-fs-binfmt_misc.mount
   13ms docker.socket
   12ms update-notifier-motd.service
   11ms systemd-user-sessions.service
   10ms dpkg-db-backup.service
   10ms systemd-tmpfiles-setup-dev.service
    9ms setvtrgb.service
    6ms plymouth-quit-wait.service
    5ms sysstat-collect.service
    4ms lxd-installer.socket
    3ms e2scrub_all.service
   74us blk-availability.service
