19.360s docker.service
12.048s systemd-networkd-wait-online.service
 2.955s EoleCiTestsContext.service
 1.649s dev-mapper-ubuntu\x2d\x2dvg\x2dubuntu\x2d\x2dlv.device
 1.592s networkd-dispatcher.service
 1.482s udisks2.service
 1.215s ModemManager.service
 1.101s dev-loop2.device
 1.101s dev-loop3.device
 1.052s fstrim.service
 1.044s dev-loop1.device
 1.038s dev-loop4.device
 1.036s dev-loop0.device
  915ms systemd-journal-flush.service
  830ms dev-loop5.device
  605ms systemd-udevd.service
  586ms containerd.service
  325ms multipathd.service
  275ms snap-snapd-16010.mount
  263ms systemd-random-seed.service
  243ms polkit.service
  234ms systemd-sysctl.service
  230ms grub-initrd-fallback.service
  230ms systemd-sysusers.service
  229ms systemd-fsck@dev-disk-by\x2duuid-8e75371f\x2dd49f\x2d46cc\x2d9bef\x2db75413ec4b1e.service
  154ms exim4-base.service
  143ms exim4.service
  124ms keyboard-setup.service
  120ms logrotate.service
  116ms systemd-udev-trigger.service
  115ms nginx.service
  112ms grub-common.service
   98ms dev-mqueue.mount
   97ms rsyslog.service
   97ms sys-kernel-debug.mount
   97ms dev-hugepages.mount
   96ms EoleCiTestsDaemon.service
   95ms sys-kernel-tracing.mount
   89ms systemd-logind.service
   80ms kmod-static-nodes.service
   78ms lvm2-monitor.service
   76ms modprobe@configfs.service
   76ms modprobe@chromeos_pstore.service
   75ms systemd-journald.service
   73ms modprobe@drm.service
   71ms systemd-hostnamed.service
   71ms modprobe@efi_pstore.service
   69ms modprobe@fuse.service
   68ms systemd-modules-load.service
   67ms systemd-remount-fs.service
   66ms modprobe@pstore_blk.service
   64ms modprobe@pstore_zone.service
   64ms lvm2-pvscan@8:3.service
   62ms modprobe@ramoops.service
   54ms dnsmasq.service
   48ms systemd-tmpfiles-setup.service
   46ms systemd-tmpfiles-setup-dev.service
   45ms systemd-networkd.service
   43ms chrony.service
   41ms apport.service
   34ms e2scrub_reap.service
   33ms snap-core20-1494.mount
   30ms snap-core20-1518.mount
   26ms ssh.service
   26ms plymouth-read-write.service
   26ms snap-lxd-23155.mount
   25ms apparmor.service
   24ms sys-fs-fuse-connections.mount
   24ms sys-kernel-config.mount
   23ms swap.img.swap
   22ms snap-lxd-23243.mount
   21ms systemd-update-utmp.service
   18ms boot.mount
   16ms snap-snapd-15904.mount
   15ms console-setup.service
   15ms finalrd.service
   13ms fetchmail.service
   12ms docker.socket
   11ms plymouth-quit.service
    8ms systemd-update-utmp-runlevel.service
    8ms setvtrgb.service
    8ms systemd-user-sessions.service
    3ms e2scrub_all.service
    2ms snap.lxd.activate.service
    2ms plymouth-quit-wait.service
  110us blk-availability.service
