5min 210ms exim4.service                                        
   18.222s docker.service                                       
    5.930s EoleCiTestsContext.service                           
    3.699s networkd-dispatcher.service                          
    3.643s udisks2.service                                      
    2.771s ModemManager.service                                 
    1.640s dev-mapper-vgubuntu\x2droot.device                   
    1.618s accounts-daemon.service                              
    1.591s systemd-udev-settle.service                          
    1.549s systemd-journal-flush.service                        
    1.081s fstrim.service                                       
     800ms man-db.service                                       
     542ms containerd.service                                   
     313ms systemd-sysctl.service                               
     312ms systemd-random-seed.service                          
     299ms systemd-sysusers.service                             
     249ms polkit.service                                       
     247ms systemd-udevd.service                                
     217ms systemd-logind.service                               
     206ms grub-common.service                                  
     193ms rsyslog.service                                      
     142ms exim4-base.service                                   
     131ms logrotate.service                                    
     129ms nginx.service                                        
     128ms keyboard-setup.service                               
     123ms systemd-resolved.service                             
     108ms systemd-journald.service                             
      94ms lvm2-monitor.service                                 
      92ms systemd-udev-trigger.service                         
      88ms EoleCiTestsDaemon.service                            
      83ms systemd-tmpfiles-setup-dev.service                   
      78ms systemd-networkd-wait-online.service                 
      75ms e2scrub_reap.service                                 
      72ms lvm2-pvscan@8:5.service                              
      71ms systemd-hostnamed.service                            
      67ms dev-hugepages.mount                                  
      66ms dev-mqueue.mount                                     
      65ms sys-kernel-debug.mount                               
      64ms sys-kernel-tracing.mount                             
      52ms multipathd.service                                   
      51ms apport.service                                       
      51ms systemd-modules-load.service                         
      48ms systemd-networkd.service                             
      44ms kmod-static-nodes.service                            
      37ms systemd-tmpfiles-setup.service                       
      37ms dnsmasq.service                                      
      33ms chrony.service                                       
      33ms console-setup.service                                
      33ms systemd-fsck@dev-disk-by\x2duuid-9215\x2dF904.service
      33ms dev-mapper-vgubuntu\x2dswap_1.swap                   
      29ms grub-initrd-fallback.service                         
      26ms systemd-remount-fs.service                           
      24ms sys-fs-fuse-connections.mount                        
      23ms sys-kernel-config.mount                              
      22ms ssh.service                                          
      18ms apparmor.service                                     
      18ms atd.service                                          
      18ms blk-availability.service                             
      18ms plymouth-read-write.service                          
      16ms fetchmail.service                                    
      15ms finalrd.service                                      
      14ms plymouth-quit.service                                
      14ms boot-efi.mount                                       
      13ms systemd-update-utmp.service                          
      11ms systemd-update-utmp-runlevel.service                 
       9ms systemd-user-sessions.service                        
       5ms plymouth-quit-wait.service                           
       5ms setvtrgb.service                                     
       3ms e2scrub_all.service                                  
       3ms docker.socket                                        
